index|emotion|nrc|emotion_i_nrc|emotion_u_nrc|emotion_nrc_jaccard|emotion_nrc_dice|variaveis|liwc|emotion_i_liwc|emotion_u_liwc|emotion_liwc_jaccard|emotion_liwc_dice|nrc_i_liwc|nrc_u_liwc|nrc_liwc_jaccard|nrc_liwc_dice
267|surprise||||||['emotion', 'liwc']|sad|418.0|6887.0|0.060694061274865686|0.11444216290212184||||
268|surprise||||||['emotion', 'liwc']|cogmech|3696.0|20293.0|0.18213176957571575|0.308141231397724||||
269|surprise||||||['emotion', 'liwc']|insight|2052.0|12482.0|0.164396731293062|0.28237236823998896||||
270|surprise||||||['emotion', 'liwc']|cause|1482.0|10178.0|0.14560817449400668|0.25420240137221267||||
271|surprise||||||['emotion', 'liwc']|discrep|1871.0|11638.0|0.16076645471730538|0.2770005181730698||||
272|surprise||||||['emotion', 'liwc']|tentat|2699.0|14310.0|0.1886093640810622|0.3173613969075195||||
273|surprise||||||['emotion', 'liwc']|certain|653.0|6611.0|0.09877476932385418|0.1797907488986784||||
274|surprise||||||['emotion', 'liwc']|inhib|1918.0|11621.0|0.16504603734618364|0.28332964029839725||||
275|surprise||||||['emotion', 'liwc']|incl|3029.0|17970.0|0.16855870895937675|0.2884899280918139||||
276|surprise||||||['emotion', 'liwc']|excl|2065.0|12844.0|0.1607754593584553|0.2770138842310014||||
277|surprise||||||['emotion', 'liwc']|percept|1819.0|11692.0|0.15557646253848786|0.269262082747391||||
278|surprise||||||['emotion', 'liwc']|see|642.0|6632.0|0.09680337756332931|0.17651910915589772||||
279|surprise||||||['emotion', 'liwc']|hear|680.0|6126.0|0.1110022853411688|0.19982368498383782||||
280|surprise||||||['emotion', 'liwc']|feel|771.0|8297.0|0.0929251536700012|0.17004852227613584||||
281|surprise||||||['emotion', 'liwc']|bio|1934.0|13757.0|0.1405829759395217|0.24651073863998474||||
282|surprise||||||['emotion', 'liwc']|body|1161.0|9949.0|0.11669514524072772|0.20900090009000902||||
283|surprise||||||['emotion', 'liwc']|health|345.0|6512.0|0.05297911547911548|0.10062709639784162||||
284|surprise||||||['emotion', 'liwc']|sexual|612.0|7354.0|0.08322001631765026|0.15365302535777053||||
285|surprise||||||['emotion', 'liwc']|ingest|2394.0|13321.0|0.17971623751970572|0.3046770601336303||||
286|surprise||||||['emotion', 'liwc']|relativ|3658.0|20000.0|0.1829|0.30924000338151997||||
287|surprise||||||['emotion', 'liwc']|motion|2436.0|14217.0|0.17134416543574593|0.29255989911727615||||
288|surprise||||||['emotion', 'liwc']|space|2995.0|16623.0|0.18017205077302534|0.30533183810786013||||
289|surprise||||||['emotion', 'liwc']|time|2721.0|15605.0|0.1743671900032041|0.29695514569464154||||
290|surprise||||||['emotion', 'liwc']|work|958.0|8519.0|0.11245451344054466|0.20217368365516514||||
291|surprise||||||['emotion', 'liwc']|achieve|1038.0|9042.0|0.11479761114797611|0.20595238095238097||||
292|surprise||||||['emotion', 'liwc']|leisure|1002.0|7715.0|0.12987686325340247|0.22989560628656652||||
293|surprise||||||['emotion', 'liwc']|home|516.0|5608.0|0.0920114122681883|0.16851730894839975||||
294|surprise||||||['emotion', 'liwc']|money|1022.0|8468.0|0.1206896551724138|0.21538461538461542||||
295|surprise||||||['emotion', 'liwc']|relig|250.0|5539.0|0.04513450081242101|0.08637070305752288||||
296|surprise||||||['emotion', 'liwc']|death|51.0|4460.0|0.011434977578475336|0.02261139436931944||||
297|surprise||||||['emotion', 'liwc']|assent|399.0|5123.0|0.07788405231309779|0.14451285766026803||||
298|surprise||||||['emotion', 'liwc']|nonfl|780.0|7715.0|0.10110174983797797|0.18363743378457917||||
299|surprise||||||['emotion', 'liwc']|filler|68.0|4090.0|0.016625916870415647|0.03270803270803271||||
300||anger|||||['emotion_nrc', 'liwc']|negate|||||907.0|7433.0|0.12202340912148527|0.2175059952038369
301||anger|||||['emotion_nrc', 'liwc']|social|||||3040.0|17831.0|0.1704895967696708|0.29131330554357715
302||anger|||||['emotion_nrc', 'liwc']|family|||||214.0|5050.0|0.04237623762376238|0.08130699088145897
303||anger|||||['emotion_nrc', 'liwc']|friend|||||217.0|5117.0|0.04240766073871409|0.08136482939632546
304||anger|||||['emotion_nrc', 'liwc']|humans|||||2096.0|12354.0|0.16966164804921482|0.29010380622837373
305||anger|||||['emotion_nrc', 'liwc']|affect|||||2994.0|16040.0|0.1866583541147132|0.31459493537879585
306||anger|||||['emotion_nrc', 'liwc']|posemo|||||1945.0|13466.0|0.14443784345759692|0.25241710466549866
307||anger|||||['emotion_nrc', 'liwc']|negemo|||||2228.0|9466.0|0.23536868793577012|0.3810501111681204
308||anger|||||['emotion_nrc', 'liwc']|anx|||||757.0|5368.0|0.14102086438152012|0.24718367346938777
