index|emotion|nrc|emotion_i_nrc|emotion_u_nrc|emotion_nrc_jaccard|emotion_nrc_dice|variaveis|liwc|emotion_i_liwc|emotion_u_liwc|emotion_liwc_jaccard|emotion_liwc_dice|nrc_i_liwc|nrc_u_liwc|nrc_liwc_jaccard|nrc_liwc_dice
277|sadness||||||['emotion', 'liwc']|percept|507.0|4872.0|0.10406403940886699|0.18851087562744004||||
278|sadness||||||['emotion', 'liwc']|see|173.0|2439.0|0.07093070930709307|0.1324655436447167||||
279|sadness||||||['emotion', 'liwc']|hear|203.0|2369.0|0.08569016462642465|0.1578538102643857||||
280|sadness||||||['emotion', 'liwc']|feel|227.0|3246.0|0.06993222427603205|0.1307227181111431||||
281|sadness||||||['emotion', 'liwc']|bio|666.0|5024.0|0.13256369426751594|0.23409490333919158||||
282|sadness||||||['emotion', 'liwc']|body|354.0|3370.0|0.10504451038575667|0.19011815252416756||||
283|sadness||||||['emotion', 'liwc']|health|228.0|2124.0|0.10734463276836158|0.19387755102040816||||
284|sadness||||||['emotion', 'liwc']|sexual|250.0|2675.0|0.09345794392523364|0.17094017094017094||||
285|sadness||||||['emotion', 'liwc']|ingest|707.0|5408.0|0.13073224852071005|0.23123466884709729||||
286|sadness||||||['emotion', 'liwc']|relativ|989.0|7190.0|0.13755215577190544|0.2418388556058198||||
287|sadness||||||['emotion', 'liwc']|motion|795.0|5715.0|0.13910761154855644|0.24423963133640558||||
288|sadness||||||['emotion', 'liwc']|space|803.0|6583.0|0.12198085979036913|0.2174383969672353||||
289|sadness||||||['emotion', 'liwc']|time|736.0|5901.0|0.12472462294526351|0.22178695193611572||||
290|sadness||||||['emotion', 'liwc']|work|323.0|3755.0|0.08601864181091877|0.15841098577734183||||
291|sadness||||||['emotion', 'liwc']|achieve|332.0|3335.0|0.09955022488755622|0.18107444777747478||||
292|sadness||||||['emotion', 'liwc']|leisure|191.0|2971.0|0.06428811847862673|0.12080961416824794||||
293|sadness||||||['emotion', 'liwc']|home|150.0|2169.0|0.06915629322268327|0.129366106080207||||
294|sadness||||||['emotion', 'liwc']|money|270.0|3144.0|0.08587786259541985|0.15817223198594024||||
295|sadness||||||['emotion', 'liwc']|relig|65.0|1542.0|0.04215304798962387|0.08089607965152458||||
296|sadness||||||['emotion', 'liwc']|death|272.0|1391.0|0.19554277498202732|0.3271196632591702||||
